map size : (310, 291)Cycle 0: curT = 3355.612549, curPe = 4, nc = 0, nwv = 0
  Cell 72689 (149, 234): pot = 10000000000.000000, left = 0.000000, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72687 (147, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 0.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72378 (148, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 0.000000
  Cell 72998 (148, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 0.000000, down = 10000000000.000000

Cycle 1: curT = 3355.612549, curPe = 8, nc = 4, nwv = 4
  Cell 72690 (150, 234): pot = 10000000000.000000, left = 50.000000, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72379 (149, 233): pot = 10000000000.000000, left = 50.000000, right = 10000000000.000000, up = 10000000000.000000, down = 50.000000
  Cell 72999 (149, 235): pot = 10000000000.000000, left = 50.000000, right = 10000000000.000000, up = 50.000000, down = 10000000000.000000
  Cell 72686 (146, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 50.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72377 (147, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 50.000000, up = 10000000000.000000, down = 50.000000
  Cell 72997 (147, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 50.000000, up = 50.000000, down = 10000000000.000000
  Cell 72068 (148, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 50.000000
  Cell 73308 (148, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 50.000000, down = 10000000000.000000

Cycle 2: curT = 3355.612549, curPe = 12, nc = 12, nwv = 8
  Cell 72691 (151, 234): pot = 10000000000.000000, left = 100.000000, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72380 (150, 233): pot = 10000000000.000000, left = 85.199997, right = 10000000000.000000, up = 10000000000.000000, down = 100.000000
  Cell 73000 (150, 235): pot = 10000000000.000000, left = 85.199997, right = 10000000000.000000, up = 100.000000, down = 10000000000.000000
  Cell 72069 (149, 232): pot = 10000000000.000000, left = 100.000000, right = 10000000000.000000, up = 10000000000.000000, down = 85.199997
  Cell 73309 (149, 236): pot = 10000000000.000000, left = 100.000000, right = 10000000000.000000, up = 85.199997, down = 10000000000.000000
  Cell 72685 (145, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 100.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72376 (146, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 85.199997, up = 10000000000.000000, down = 100.000000
  Cell 72996 (146, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 85.199997, up = 100.000000, down = 10000000000.000000
  Cell 72067 (147, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 100.000000, up = 10000000000.000000, down = 85.199997
  Cell 73307 (147, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 100.000000, up = 85.199997, down = 10000000000.000000
  Cell 71758 (148, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 100.000000
  Cell 73618 (148, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 100.000000, down = 10000000000.000000

Cycle 3: curT = 3355.612549, curPe = 13, nc = 24, nwv = 12
  Cell 72070 (150, 232): pot = 10000000000.000000, left = 127.246338, right = 10000000000.000000, up = 10000000000.000000, down = 127.246338
  Cell 73310 (150, 236): pot = 10000000000.000000, left = 127.246338, right = 10000000000.000000, up = 127.246338, down = 10000000000.000000
  Cell 71759 (149, 231): pot = 10000000000.000000, left = 150.000000, right = 10000000000.000000, up = 10000000000.000000, down = 127.246338
  Cell 73619 (149, 237): pot = 10000000000.000000, left = 150.000000, right = 10000000000.000000, up = 127.246338, down = 10000000000.000000
  Cell 72684 (144, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 150.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72375 (145, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 127.246338, up = 10000000000.000000, down = 150.000000
  Cell 72995 (145, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 127.246338, up = 150.000000, down = 10000000000.000000
  Cell 72066 (146, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 127.246338, up = 10000000000.000000, down = 127.246338
  Cell 73306 (146, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 127.246338, up = 127.246338, down = 10000000000.000000
  Cell 71757 (147, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 150.000000, up = 10000000000.000000, down = 127.246338
  Cell 73617 (147, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 150.000000, up = 127.246338, down = 10000000000.000000
  Cell 71448 (148, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 150.000000
  Cell 73928 (148, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 150.000000, down = 10000000000.000000

Cycle 4: curT = 3355.612549, curPe = 13, nc = 37, nwv = 13
  Cell 71449 (149, 230): pot = 10000000000.000000, left = 200.000000, right = 10000000000.000000, up = 10000000000.000000, down = 172.139114
  Cell 73929 (149, 238): pot = 10000000000.000000, left = 200.000000, right = 10000000000.000000, up = 172.139114, down = 10000000000.000000
  Cell 72683 (143, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 200.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72374 (144, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 172.139114, up = 10000000000.000000, down = 200.000000
  Cell 72994 (144, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 172.139114, up = 200.000000, down = 10000000000.000000
  Cell 72065 (145, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 162.446335, up = 10000000000.000000, down = 172.139114
  Cell 73305 (145, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 162.446335, up = 172.139114, down = 10000000000.000000
  Cell 71756 (146, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 172.139114, up = 10000000000.000000, down = 162.446335
  Cell 73616 (146, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 172.139114, up = 162.446335, down = 10000000000.000000
  Cell 71447 (147, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 200.000000, up = 10000000000.000000, down = 172.139114
  Cell 73927 (147, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 200.000000, up = 172.139114, down = 10000000000.000000
  Cell 71138 (148, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 200.000000
  Cell 74238 (148, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 200.000000, down = 10000000000.000000

Cycle 5: curT = 3355.612549, curPe = 12, nc = 50, nwv = 13
  Cell 72682 (142, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 250.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72373 (143, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 218.552673, up = 10000000000.000000, down = 250.000000
  Cell 72993 (143, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 218.552673, up = 250.000000, down = 10000000000.000000
  Cell 72064 (144, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 202.357941, up = 10000000000.000000, down = 218.552673
  Cell 73304 (144, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 202.357941, up = 218.552673, down = 10000000000.000000
  Cell 71755 (145, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 202.357941, up = 10000000000.000000, down = 202.357941
  Cell 73615 (145, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 202.357941, up = 202.357941, down = 10000000000.000000
  Cell 71446 (146, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 218.552673, up = 10000000000.000000, down = 202.357941
  Cell 73926 (146, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 218.552673, up = 202.357941, down = 10000000000.000000
  Cell 71137 (147, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 250.000000, up = 10000000000.000000, down = 218.552673
  Cell 74237 (147, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 250.000000, up = 218.552673, down = 10000000000.000000
  Cell 70828 (148, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 250.000000

Cycle 6: curT = 3355.612549, curPe = 13, nc = 62, nwv = 13
  Cell 72681 (141, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 300.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72372 (142, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 265.890686, up = 10000000000.000000, down = 300.000000
  Cell 72992 (142, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 265.890686, up = 300.000000, down = 10000000000.000000
  Cell 72063 (143, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 244.945526, up = 10000000000.000000, down = 265.890686
  Cell 73303 (143, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 244.945526, up = 265.890686, down = 10000000000.000000
  Cell 71754 (144, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 237.557938, up = 10000000000.000000, down = 244.945526
  Cell 73614 (144, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 237.557938, up = 244.945526, down = 10000000000.000000
  Cell 71445 (145, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 244.945526, up = 10000000000.000000, down = 237.557938
  Cell 73925 (145, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 244.945526, up = 237.557938, down = 10000000000.000000
