Goal 1: 7.85 meters, 32.66 seconds
Goal 2: 10.56 meters, 24.58 seconds
Goal 3: 7.29 meters, 17.56 seconds
Goal 4: 3.33 meters, 10.37 seconds
Goal 5: 5.73 meters, 17.46 seconds
Goal 6: 7.97 meters, 18.61 seconds
Goal 7: 6.20 meters, 15.83 seconds
Goal 8: 10.88 meters, 28.27 seconds
Goal 9: Fail
Goal 10: 7.13 meters, 20.44 seconds


Goal 1: 7.93 meters, 43.11 seconds
Goal 2: 10.80 meters, 25.38 seconds
Goal 3: 7.27 meters, 17.76 seconds
Goal 4: 3.41 meters, 10.80 seconds
Goal 5: 5.18 meters, 14.11 seconds
Goal 6: 8.02 meters, 23.54 seconds
Goal 7: 6.39 meters, 17.27 seconds
Goal 8: 10.74 meters, 25.79 seconds
Goal 9: 8.70 meters, 37.29 seconds
Goal 10: 6.91 meters, 18.42 seconds


Goal 1: 7.93 meters, 43.11 seconds
Goal 2: 10.80 meters, 25.38 seconds
Goal 3: 7.27 meters, 17.76 seconds
Goal 4: 3.41 meters, 10.80 seconds
Goal 5: 5.18 meters, 14.11 seconds
Goal 6: 8.02 meters, 23.54 seconds
Goal 7: 6.39 meters, 17.27 seconds
Goal 8: 10.74 meters, 25.79 seconds
Goal 9: 8.70 meters, 37.29 seconds
Goal 10: 6.91 meters, 18.42 seconds


Goal 1: Fail
Goal 2: 11.09 meters, 27.17 seconds
Goal 3: 7.01 meters, 17.13 seconds
Goal 4: 3.43 meters, 10.74 seconds
Goal 5: 5.48 meters, 17.40 seconds
Goal 6: 7.93 meters, 18.08 seconds
Goal 7: 6.20 meters, 15.83 seconds
Goal 8: 10.85 meters, 27.40 seconds
Goal 9: Fail
Goal 10: 7.14 meters, 20.66 seconds
